"","Row","Gene ID","Gene Name","Score(d)","Numerator(r)","Denominator(s+s0)","Fold Change","q-value(%)"
"1","155","RPS20","ENSG00000008988","-637","-637","1","1.39889291027718e-10","0"
"4","137","RPL31","ENSG00000071082","-767.35","-767.35","1","1.42046174402808e-10","0"
"5","4","ACTB","ENSG00000075624","-1165.7","-1165.7","1","0.090842804248649","0"
"7","49","FTL","ENSG00000087086","-1180.45","-1180.45","1","0.111087710031257","0"
"8","51","GNAS","ENSG00000087460","-942.15","-942.15","1","0.282462549164959","0"
"9","147","RPLP0","ENSG00000089157","-573.1","-573.1","1","3.40561094045553e-10","0"
"14","99","OAZ1","ENSG00000104904","-574","-574","1","0.501119036646465","0"
"15","133","RPL19","ENSG00000108298","-556.2","-556.2","1","1.25034911756099e-10","0"
"20","50","GAPDH","ENSG00000111640","-817.15","-817.15","1","0.173322419537701","0"
"21","151","RPS12","ENSG00000112306","-591.1","-591.1","1","8.37884922512421e-11","0"
"23","191","TPT1","ENSG00000133112","-1001","-1001","1","0.0598720343648154","0"
"24","153","RPS15A","ENSG00000134419","-555.95","-555.95","1","1.83660116536339e-10","0"
"26","162","RPS6","ENSG00000137154","-750.1","-750.1","1","7.07415187171376e-11","0"
"28","157","RPS24","ENSG00000138326","-561","-561","1","2.15688918187885e-10","0"
"30","170","SERF2","ENSG00000140264","-666","-666","1","0.404755471474626","0"
"31","154","RPS2","ENSG00000140988","-808.75","-808.75","1","9.54673827593131e-11","0"
"32","150","RPS11","ENSG00000142534","-583.25","-583.25","1","0.185252025349629","0"
"33","172","SH3BGRL3","ENSG00000142669","-755.3","-755.3","1","0.222670177169229","0"
"35","163","RPS8","ENSG00000142937","-629.1","-629.1","1","1.67766347666651e-10","0"
"38","138","RPL32","ENSG00000144713","-730.5","-730.5","1","1.15196109897197e-10","0"
"41","160","RPS3","ENSG00000149273","-518.05","-518.05","1","2.0648797947319e-10","0"
"42","6","ALDOA","ENSG00000149925","-626.8","-626.8","1","0.114326649825884","0"
"45","37","EEF1A1","ENSG00000156508","-951.05","-951.05","1","4.75932887040702e-11","0"
"49","152","RPS14","ENSG00000164587","-770.55","-770.55","1","6.67375499089154e-11","0"
"52","11","B2M","ENSG00000166710","-890.45","-890.45","1","0.22347289153705","0"
"53","132","RPL13","ENSG00000167526","-598.2","-598.2","1","8.2172493595475e-11","0"
"54","48","FTH1","ENSG00000167996","-793.55","-793.55","1","0.117902023402252","0"
"55","198","UBB","ENSG00000170315","-1273.35","-1273.35","1","0.00931902665936709","0"
"59","38","EIF1","ENSG00000173812","-787.3","-787.3","1","0.153212584376265","0"
"60","149","RPLP2","ENSG00000177600","-510.65","-510.65","1","1.67871108303141e-10","0"
"62","61","HBA2","ENSG00000188536","-1129.25","-1129.25","1","4.36360465818796e-13","0"
"68","60","HBA1","ENSG00000206172","-1178.55","-1178.55","1","3.64575261119879e-12","0"
"69","146","RPL41","ENSG00000229117","-848.3","-848.3","1","3.21087755338206e-11","0"
"72","62","HBB","ENSG00000244734","-1275","-1275","1","2.54706404330262e-14","0"
"12","64","HSP90AB1","ENSG00000096384","-474.75","-474.75","1","1.98596168266085e-09","0.00151515151515152"
"25","140","RPL35","ENSG00000136942","-450.65","-450.65","1","5.81603847000797e-10","0.00151515151515152"
"27","148","RPLP1","ENSG00000137818","-474.9","-474.9","1","0.0286142837917235","0.00151515151515152"
"36","166","S100A8","ENSG00000143546","-479.05","-479.05","1","1.03716038410601e-09","0.00151515151515152"
"64","143","RPL37A","ENSG00000197756","-462.8","-462.8","1","2.4476085111429e-10","0.00151515151515152"
"66","161","RPS4X","ENSG00000198034","-464","-464","1","6.07486579786969e-10","0.00151515151515152"
