,Genes,genes,E.genes,mean.all,mean.cl,log2.fc,p.adj
ENSG00000001036,FUCA2,FUCA2,ENSG00000001036,28.87874811,59.65400115,1.046610704,0.001681726
ENSG00000001630,CYP51A1,CYP51A1,ENSG00000001630,21.77066721,47.94777661,1.139078295,0.005000552
ENSG00000003147,ICA1,ICA1,ENSG00000003147,25.1252793,54.64680763,1.120997585,0.001057761
ENSG00000004059,ARF5,ARF5,ENSG00000004059,35.67867345,98.3306913,1.462579809,0
ENSG00000004478,FKBP4,FKBP4,ENSG00000004478,55.25854584,152.392656,1.463523876,0
ENSG00000004779,NDUFAB1,NDUFAB1,ENSG00000004779,65.57699778,136.5122314,1.057768462,5.89E-11
ENSG00000005022,SLC25A5,SLC25A5,ENSG00000005022,117.2675099,298.236269,1.346652361,0
ENSG00000005884,ITGA3,ITGA3,ENSG00000005884,28.47247252,77.30642488,1.44102054,9.90E-11
ENSG00000005893,LAMP2,LAMP2,ENSG00000005893,52.60006297,132.3340112,1.331047465,0
ENSG00000006118,TMEM132A,TMEM132A,ENSG00000006118,28.13376771,69.51316511,1.304983463,1.40E-07
ENSG00000006210,CX3CL1,CX3CL1,ENSG00000006210,21.14302888,54.34079589,1.361853629,3.81E-06
ENSG00000006327,TNFRSF12A,TNFRSF12A,ENSG00000006327,51.23668002,138.3992497,1.43358722,0
ENSG00000006451,RALA,RALA,ENSG00000006451,34.96454361,70.14514273,1.004450533,0.000351935
ENSG00000006453,BAIAP2L1,BAIAP2L1,ENSG00000006453,20.06873944,44.80265832,1.158634335,0.00697651
ENSG00000006625,GGCT,GGCT,ENSG00000006625,46.43066546,122.5220638,1.39989171,0
ENSG00000006756,ARSD,ARSD,ENSG00000006756,25.98964153,55.2551593,1.088172443,0.001346226
ENSG00000008018,PSMB1,PSMB1,ENSG00000008018,123.8926245,244.9639612,0.983479213,0
ENSG00000008196,TFAP2B,TFAP2B,ENSG00000008196,25.32615458,53.33983939,1.07458544,0.002972039
ENSG00000008282,SYPL1,SYPL1,ENSG00000008282,36.55288933,85.30050813,1.222568887,1.46E-08
ENSG00000008283,CYB561,CYB561,ENSG00000008283,48.46672297,146.0463512,1.59135987,0
ENSG00000008394,MGST1,MGST1,ENSG00000008394,76.48455019,216.4784163,1.500982931,0
ENSG00000008513,ST3GAL1,ST3GAL1,ENSG00000008513,89.92241536,149.8804395,0.737059421,2.73E-05
ENSG00000010256,UQCRC1,UQCRC1,ENSG00000010256,57.54416384,158.3839104,1.460684263,0
ENSG00000010278,CD9,CD9,ENSG00000010278,440.6404815,641.3766619,0.541569817,0
ENSG00000011052,NME1-NME2,NME1-NME2,ENSG00000011052,69.73415326,250.3929539,1.844256651,0
ENSG00000011426,ANLN,ANLN,ENSG00000011426,21.83658558,49.42100075,1.178376934,0.001025436
ENSG00000011566,MAP4K3,MAP4K3,ENSG00000011566,21.34523379,49.06827676,1.200876642,0.000528637
ENSG00000012223,LTF,LTF,ENSG00000012223,262.6867104,545.310897,1.05373577,0
ENSG00000012660,ELOVL5,ELOVL5,ENSG00000012660,47.3176032,104.6023983,1.144467027,2.12E-09
ENSG00000012963,UBR7,UBR7,ENSG00000012963,48.65631836,162.0926976,1.736120032,0
ENSG00000013275,PSMC4,PSMC4,ENSG00000013275,38.33747729,74.62437006,0.960891441,0.000640531
ENSG00000013306,SLC25A39,SLC25A39,ENSG00000013306,79.96521544,159.0717722,0.992233372,1.34E-11
ENSG00000013364,MVP,MVP,ENSG00000013364,40.48491349,80.49778711,0.991564729,8.23E-05
ENSG00000013375,PGM3,PGM3,ENSG00000013375,26.632805,58.12032081,1.125838283,0.000263915
ENSG00000014641,MDH1,MDH1,ENSG00000014641,38.86227281,104.0798712,1.421248899,0
ENSG00000015479,MATR3,MATR3,ENSG00000015479,95.81021352,161.8302291,0.756229759,2.80E-06
ENSG00000015676,NUDCD3,NUDCD3,ENSG00000015676,29.70728515,70.9762337,1.256519253,5.62E-07
ENSG00000018408,WWTR1,WWTR1,ENSG00000018408,21.91166944,52.55332747,1.262082706,8.15E-05
ENSG00000023191,RNH1,RNH1,ENSG00000023191,52.84698004,92.62563891,0.809590558,0.002279426
ENSG00000025772,TOMM34,TOMM34,ENSG00000025772,20.98859335,45.85275024,1.127402788,0.009703041
ENSG00000025796,SEC63,SEC63,ENSG00000025796,50.24918841,96.41045443,0.940089301,1.95E-05
ENSG00000026025,VIM,VIM,ENSG00000026025,390.2600775,1026.60284,1.395370365,0
ENSG00000026508,CD44,CD44,ENSG00000026508,83.86316073,138.4024388,0.722760255,0.000138541
ENSG00000028203,VEZT,VEZT,ENSG00000028203,29.88727347,60.56545209,1.018963792,0.002394944
ENSG00000029364,SLC39A9,SLC39A9,ENSG00000029364,23.76507378,53.34320135,1.166461529,0.000434229
ENSG00000030582,GRN,GRN,ENSG00000030582,105.3123962,213.0553278,1.016552865,0
ENSG00000034510,TMSB10,TMSB10,ENSG00000034510,1084.775253,1300.224111,0.261364141,6.06E-07
ENSG00000034677,RNF19A,RNF19A,ENSG00000034677,45.68836233,81.18728645,0.829427095,0.005065662
ENSG00000035115,SH3YL1,SH3YL1,ENSG00000035115,27.87769269,67.88910854,1.28406898,5.99E-07
ENSG00000035141,FAM136A,FAM136A,ENSG00000035141,24.0505786,50.23510855,1.062624392,0.007009512
ENSG00000037474,NSUN2,NSUN2,ENSG00000037474,24.59585782,52.497192,1.093824885,0.002764843
ENSG00000039068,CDH1,CDH1,ENSG00000039068,52.70072717,131.1152767,1.314941015,0
ENSG00000041357,PSMA4,PSMA4,ENSG00000041357,81.93294983,151.1005603,0.882993348,1.79E-08
ENSG00000041802,LSG1,LSG1,ENSG00000041802,31.3325125,71.44704585,1.189213899,2.17E-06
ENSG00000042493,CAPG,CAPG,ENSG00000042493,55.01189296,123.0447959,1.161368189,6.02E-12
ENSG00000044115,CTNNA1,CTNNA1,ENSG00000044115,112.9830335,302.380879,1.420260772,0
ENSG00000044574,HSPA5,HSPA5,ENSG00000044574,146.941004,433.3534712,1.560307224,0
ENSG00000046604,DSG2,DSG2,ENSG00000046604,26.50028385,69.387739,1.388672944,1.05E-08
ENSG00000047410,TPR,TPR,ENSG00000047410,55.62258261,109.0982981,0.97188596,4.98E-07
ENSG00000047849,MAP4,MAP4,ENSG00000047849,38.6794928,84.86934701,1.1336747,5.29E-07
ENSG00000049245,VAMP3,VAMP3,ENSG00000049245,32.77998136,65.708353,1.003261747,0.00133126
ENSG00000049860,HEXB,HEXB,ENSG00000049860,35.77611959,82.49411516,1.20529429,6.80E-08
ENSG00000050405,LIMA1,LIMA1,ENSG00000050405,36.42982756,74.00357903,1.022474879,8.95E-05
ENSG00000051108,HERPUD1,HERPUD1,ENSG00000051108,68.42510383,143.7982109,1.071448103,7.36E-12
ENSG00000051620,HEBP2,HEBP2,ENSG00000051620,33.74417431,73.99746596,1.132837414,8.87E-06
