"","Row","Gene ID","Gene Name","Score(d)","Numerator(r)","Denominator(s+s0)","Fold Change","q-value(%)"
"1","155","RPS20","ENSG00000008988","108556.95","108556.95","1","14.8692599034199","0"
"2","17","CD9","ENSG00000010278","28162.1","28162.1","1","1.29870071683256","0"
"3","16","CD74","ENSG00000019582","37390.75","37390.75","1","12761702.502445","0"
"4","186","TMSB10","ENSG00000034510","118100.8","118100.8","1","20.4680851028399","0"
"5","137","RPL31","ENSG00000071082","101610.85","101610.85","1","28116370318.8749","0"
"7","4","ACTB","ENSG00000075624","87600.7","87600.7","1","2.31098162257223","0"
"8","63","HSP90AA1","ENSG00000080824","101275.4","101275.4","1","8.54545454429163","0"
"9","49","FTL","ENSG00000087086","31147.85","31147.85","1","1.27609756096992","0"
"10","51","GNAS","ENSG00000087460","32637.85","32637.85","1","1.28378378377528","0"
"11","147","RPLP0","ENSG00000089157","102865.45","102865.45","1","20175105419.9331","0"
"12","41","EZR","ENSG00000092820","87330.45","87330.45","1","12496164586.7222","0"
"13","92","MYL6","ENSG00000092841","67343.6","67343.6","1","1.52846840086287","0"
"14","64","HSP90AB1","ENSG00000096384","92106.05","92106.05","1","19082590686.0559","0"
"15","28","CST3","ENSG00000101439","52814.7","52814.7","1","2.13979086395684","0"
"16","65","HSPB1","ENSG00000106211","51118.5","51118.5","1","3.58648648583716","0"
"17","133","RPL19","ENSG00000108298","103917.35","103917.35","1","32132994649.9999","0"
"18","106","PFN1","ENSG00000108518","59425.25","59425.25","1","1.97480791025947","0"
"20","139","RPL34","ENSG00000109475","108582.25","108582.25","1","14.4539007040326","0"
"21","39","EIF4G2","ENSG00000110321","46695.8","46695.8","1","1.61246105916005","0"
"22","76","KRT18","ENSG00000111057","66571.05","66571.05","1","1","0"
"23","88","MGP","ENSG00000111341","32355.95","32355.95","1","1","0"
"24","8","ARHGDIB","ENSG00000111348","17207.65","17207.65","1","1.20810810809638","0"
"25","50","GAPDH","ENSG00000111640","97316.05","97316.05","1","2.33273497875721","0"
"26","151","RPS12","ENSG00000112306","104815.45","104815.45","1","14.6388163578637","0"
"27","113","PRRC2C","ENSG00000117523","37674.1","37674.1","1","1.70915810569484","0"
"28","125","RBM25","ENSG00000119707","73668.35","73668.35","1","4.81235697864666","0"
"30","134","RPL23","ENSG00000125691","102181","102181","1","25043976626.8813","0"
"31","191","TPT1","ENSG00000133112","117294.55","117294.55","1","5.57546140134413","0"
"32","153","RPS15A","ENSG00000134419","86686.6","86686.6","1","23597667946.3593","0"
"33","121","RAC1","ENSG00000136238","32618","32618","1","1.30101010099788","0"
"34","140","RPL35","ENSG00000136942","112083.75","112083.75","1","29043283626.0576","0"
"35","162","RPS6","ENSG00000137154","111048.5","111048.5","1","32212546912.5093","0"
"36","148","RPLP1","ENSG00000137818","118536.95","118536.95","1","11.3883497034558","0"
"37","157","RPS24","ENSG00000138326","103377.1","103377.1","1","21101307864.3153","0"
"38","184","TMBIM6","ENSG00000139644","79157.95","79157.95","1","3.78554778511988","0"
"39","170","SERF2","ENSG00000140264","73376.15","73376.15","1","1.8162238325033","0"
"40","154","RPS2","ENSG00000140988","102108.9","102108.9","1","19589544117.3004","0"
"41","150","RPS11","ENSG00000142534","110053.7","110053.7","1","7.90839694521088","0"
"43","131","RPL11","ENSG00000142676","106580.8","106580.8","1","26.3383458478697","0"
"44","163","RPS8","ENSG00000142937","103431.7","103431.7","1","29891100708.8004","0"
"45","166","S100A8","ENSG00000143546","28915.5","28915.5","1","1","0"
"46","188","TPM3","ENSG00000143549","25602.4","25602.4","1","1.21134020617852","0"
"47","158","RPS27A","ENSG00000143947","95446.3","95446.3","1","6.9606741559062","0"
"48","138","RPL32","ENSG00000144713","99663.35","99663.35","1","20019139626.7542","0"
"49","142","RPL37","ENSG00000145592","107250.3","107250.3","1","30359333176.2363","0"
"50","160","RPS3","ENSG00000149273","95671.45","95671.45","1","36922450036.722","0"
"51","6","ALDOA","ENSG00000149925","80380.55","80380.55","1","2.87105038408859","0"
"52","199","UBC","ENSG00000150991","77619.8","77619.8","1","2.16905040619436","0"
"53","136","RPL30","ENSG00000156482","116757.3","116757.3","1","47195335891.7186","0"
"54","37","EEF1A1","ENSG00000156508","98587.1","98587.1","1","27246791855.4355","0"
"56","167","S100A9","ENSG00000163220","49002.25","49002.25","1","1986674125.18961","0"
"57","200","UQCRQ","ENSG00000164405","84755.7","84755.7","1","12585422905.1916","0"
"58","152","RPS14","ENSG00000164587","108701.8","108701.8","1","42179504574.8759","0"
"59","135","RPL27A","ENSG00000166441","105477.1","105477.1","1","6.09414225847845","0"
"60","11","B2M","ENSG00000166710","56754.05","56754.05","1","1.53251046947005","0"
"62","132","RPL13","ENSG00000167526","110042.3","110042.3","1","20.3339217576038","0"
"64","175","SPINT2","ENSG00000167642","45330.5","45330.5","1","1.94060773468162","0"
"65","48","FTH1","ENSG00000167996","55497.85","55497.85","1","1.52901632316133","0"
"66","198","UBB","ENSG00000170315","89349.5","89349.5","1","2.61254612535326","0"
"67","78","KRT8","ENSG00000170421","65415.15","65415.15","1","1","0"
"68","77","KRT19","ENSG00000171345","56479.35","56479.35","1","1","0"
"69","20","CFL1","ENSG00000172757","107627.7","107627.7","1","2.98035289692334","0"
"70","144","RPL38","ENSG00000172809","101908.2","101908.2","1","34243023450.5673","0"
"71","38","EIF1","ENSG00000173812","89961.85","89961.85","1","2.51958762877815","0"
"72","149","RPLP2","ENSG00000177600","122580.55","122580.55","1","51.7396593265716","0"
"73","141","RPL35A","ENSG00000182899","88590.6","88590.6","1","3.70485356490114","0"
"74","208","ZFP36L1","ENSG00000185650","52699.9","52699.9","1","4.73440860090627","0"
"75","156","RPS23","ENSG00000186468","98018.25","98018.25","1","22253984296.3815","0"
"76","114","PSAP","ENSG00000197746","82021.85","82021.85","1","2.72711111101472","0"
"77","143","RPL37A","ENSG00000197756","113301.45","113301.45","1","53241587613.6711","0"
"78","165","S100A6","ENSG00000197956","77438.85","77438.85","1","10425794122.8155","0"
